# from http://www.nasdaq.com/symbol/ibm/historical
"date","close","volume","open","high","low"
"2017/03/10","177.8300","3100107.0000","178.2100","179.4900","177.4200"
"2017/03/09","177.1800","5443665.0000","179.1500","179.2500","175.8800"
"2017/03/08","179.4500","3557388.0000","180.7500","180.9500","179.3000"
"2017/03/07","180.3800","2977496.0000","180.7100","181.2900","180.1997"
"2017/03/06","180.4700","3199175.0000","179.7200","180.9900","179.5700"
"2017/03/03","180.0500","1824911.0000","180.0400","181.3200","179.7649"
"2017/03/02","180.5300","2915947.0000","181.8800","181.8800","180.4300"
"2017/03/01","181.9500","3001512.0000","180.4800","182.5500","180.0300"
"2017/02/28","179.8200","3273324.0000","179.3800","180.6300","179.3500"
"2017/02/27","179.4000","3689926.0000","181.1900","181.2500","179.2800"
"2017/02/24","181.3500","3298816.0000","180.2100","181.4900","179.8900"
"2017/02/23","181.6500","2282522.0000","182.0000","182.5000","180.9200"
"2017/02/22","181.1500","3020538.0000","180.0900","181.3400","180.0900"
"2017/02/21","180.2600","4479596.0000","180.6000","180.7900","179.1200"
"2017/02/17","180.6700","3551140.0000","181.2500","181.5700","180.0000"
"2017/02/16","181.4300","3251022.0000","181.4500","182.7900","180.8700"
"2017/02/15","181.6800","2914083.0000","180.2000","181.9200","179.8100"
"2017/02/14","180.1300","2775296.0000","178.5700","180.1300","178.3500"
"2017/02/13","179.3600","3092266.0000","179.2400","179.9000","178.8400"
"2017/02/10","178.6800","2930498.0000","177.3700","178.8701","176.7600"
"2017/02/09","177.2100","3090208.0000","176.1700","177.8000","175.9100"
"2017/02/08","176.1700","2912492.0000","177.5000","177.5000","175.8800"
"2017/02/07","178.4600","3859161.0000","176.0000","178.6200","175.9000"
"2017/02/06","175.8600","2650509.0000","175.3100","175.9800","174.3800"
"2017/02/03","175.8200","3306324.0000","175.0000","176.3400","174.8900"
"2017/02/02","174.5800","2619514.0000","174.2300","174.9700","173.5500"
"2017/02/01","174.2900","2795443.0000","175.0000","175.7025","172.8900"
"2017/01/31","174.5200","4133448.0000","175.0500","175.5800","173.6100"
"2017/01/30","175.8000","4093251.0000","176.9800","177.0700","174.5768"
"2017/01/27","177.3000","3482023.0000","178.4700","179.2000","177.3000"
"2017/01/26","178.6600","3062355.0000","178.0600","178.8800","177.5100"
"2017/01/25","178.2900","5917531.0000","176.2600","179.2500","176.1300"
"2017/01/24","175.9000","6947945.0000","171.3600","176.0000","171.1600"
"2017/01/23","171.0300","5432156.0000","170.0800","171.2500","170.0100"
"2017/01/20","170.5500","12605330.0000","167.8100","170.6400","166.0000"
"2017/01/19","166.8100","6726135.0000","166.9600","167.4500","165.8000"
"2017/01/18","166.8000","4005403.0000","167.4500","168.5900","166.6900"
"2017/01/17","167.8900","3315220.0000","166.6900","168.1800","166.1201"
"2017/01/13","167.3400","2874625.0000","167.9700","168.4800","166.8750"
"2017/01/12","167.9500","2927951.0000","167.7700","168.0100","165.5600"
"2017/01/11","167.7500","3599412.0000","166.0500","167.7600","165.6000"
"2017/01/10","165.5200","4118192.0000","167.9800","168.0900","165.3400"
"2017/01/09","167.6500","3189410.0000","169.4700","169.8000","167.6200"
"2017/01/06","169.5300","2945459.0000","168.6900","169.9200","167.5200"
"2017/01/05","168.7000","2682176.0000","169.2500","169.3900","167.2600"
"2017/01/04","169.2600","3376634.0000","167.7700","169.8700","167.3600"
"2017/01/03","167.1900","2934107.0000","167.0000","167.8700","166.0100"
"2016/12/30","165.9900","2952198.0000","166.4400","166.7000","165.5000"
"2016/12/29","166.6000","1663140.0000","166.0200","166.9900","166.0000"
"2016/12/28","166.1900","1723593.0000","167.2900","167.7400","166.0000"
"2016/12/27","167.1400","1397392.0000","166.9800","167.9800","166.8500"
"2016/12/23","166.7100","1701208.0000","167.0000","167.4900","166.4500"
"2016/12/22","167.0600","2781138.0000","167.3600","168.2300","166.5800"
"2016/12/21","167.3300","3574850.0000","166.2500","167.9400","165.2500"
"2016/12/20","167.6000","2174492.0000","167.4900","168.2500","166.4500"
"2016/12/19","166.6800","2955862.0000","166.8300","167.2600","166.0000"
"2016/12/16","166.7300","7117018.0000","168.9700","169.1100","166.0600"
"2016/12/15","168.0200","3385177.0000","168.0100","169.8500","167.7800"
"2016/12/14","168.5100","4046752.0000","168.3700","169.8900","167.4500"
"2016/12/13","168.2900","5860952.0000","165.6800","169.9520","165.6800"
"2016/12/12","165.5000","3389243.0000","166.7200","166.7900","165.0700"
"2016/12/09","166.5200","3145182.0000","165.1800","166.7200","164.6042"
"2016/12/08","165.3600","3262803.0000","164.8700","166.0000","164.2200"
"2016/12/07","164.7900","4434800.0000","160.6000","165.1800","160.3900"
"2016/12/06","160.3500","2858766.0000","160.1300","160.7900","158.9300"
"2016/12/05","159.8400","3446698.0000","160.8500","161.1500","159.5875"
"2016/12/02","160.0200","2740532.0000","159.0000","160.2900","158.4100"
"2016/12/01","159.8200","4634638.0000","161.9500","162.1950","158.3000"
"2016/11/30","162.2200","4397775.0000","163.3500","163.8000","162.2100"
"2016/11/29","163.5300","3139540.0000","164.0000","164.4100","163.0300"
"2016/11/28","164.5200","4438710.0000","163.2000","164.6600","162.7000"
"2016/11/25","163.1400","1605344.0000","161.8300","163.1900","161.8300"
"2016/11/23","161.9800","2256035.0000","161.9400","162.3800","161.3557"
"2016/11/22","162.6700","2770714.0000","163.0000","163.0000","161.9500"
"2016/11/21","162.7700","4633131.0000","160.6900","163.0000","160.3697"
"2016/11/18","160.3900","2979264.0000","159.8000","160.7200","159.2100"
"2016/11/17","159.8000","2260909.0000","159.2200","159.9300","158.8500"
"2016/11/16","159.2900","2252655.0000","158.4600","159.5500","158.0300"
"2016/11/15","158.6700","3475578.0000","158.4200","159.1500","157.5500"
"2016/11/14","158.2100","5192889.0000","161.2500","161.8600","157.5800"
"2016/11/11","161.2700","4446510.0000","159.9700","161.3400","159.3300"
"2016/11/10","160.2200","7711608.0000","157.6600","161.1600","157.5900"
"2016/11/09","154.8100","5403573.0000","152.9600","155.5600","151.0000"
"2016/11/08","155.1700","3920344.0000","154.5600","155.9300","153.0600"
"2016/11/07","155.7200","3746609.0000","153.9900","156.1100","153.8400"
"2016/11/04","152.4300","2467966.0000","152.4000","153.6400","151.8700"
"2016/11/03","152.3700","2878718.0000","152.5100","153.7400","151.8000"
"2016/11/02","151.9500","3072611.0000","152.4800","153.3450","151.6700"
"2016/11/01","152.7900","3187660.0000","153.5000","153.9100","151.7400"
"2016/10/31","153.6900","3550358.0000","152.7600","154.3300","152.7600"
"2016/10/28","152.6100","3654444.0000","154.0500","154.4400","152.1800"
"2016/10/27","153.3500","4227704.0000","152.8200","154.0600","152.0200"
"2016/10/26","151.8100","2811314.0000","150.7100","152.9400","150.2550"
"2016/10/25","150.8800","2647416.0000","150.6900","151.1600","149.8300"
"2016/10/24","150.5700","2662724.0000","150.4000","151.5200","150.4000"
"2016/10/21","149.6300","4413601.0000","150.5800","151.1500","149.5600"
